profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,86,18834,29317,31909,2056,31920,27737,59535,1089,25,0,1
balanced,aged,10,80,32343,32626,31591,1955,31670,27676,60485,1089,25,0,1
balanced,fresh,50,86,18735,30142,31937,1974,32561,28325,60395,1089,24,0,1
balanced,aged,50,80,34817,42450,32481,5470,31759,28047,60577,1089,38,0,1
balanced,fresh,75,86,19288,30599,31809,2881,32444,30586,63384,1089,25,0,1
balanced,aged,75,80,31783,32189,31765,1924,36050,27935,59998,1089,27,0,1
balanced,fresh,90,97,19397,29691,31352,1938,32120,27823,60885,1089,24,0,1
balanced,aged,90,91,31991,32444,31078,1984,31567,27889,60354,1089,25,0,1
balanced,fresh,95,97,19178,29567,32032,1937,31420,26454,59250,1089,24,0,1
balanced,aged,95,44,37145,37639,35874,34705,37732,31860,69145,1089,285,0,1
