profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,26,17708,26374,27927,27398,30854,24224,53418,865,73,0,1
deterministic,aged,10,11,28220,42458,28714,27028,27786,22977,53066,865,83,0,0
deterministic,fresh,50,11,17570,25771,28610,26642,45251,24444,64245,865,79,0,0
deterministic,aged,50,93,29062,28217,29020,27691,28131,24014,53368,865,74,0,1
deterministic,fresh,75,11,17692,25333,27746,26700,27745,23531,52022,865,73,0,1
deterministic,aged,75,93,27705,28199,29002,28513,27832,23870,53357,865,75,0,1
deterministic,fresh,90,11,17789,25853,27629,26782,27557,23206,53133,865,73,0,1
deterministic,aged,90,93,28724,28382,29104,27270,30978,23479,53991,865,74,0,1
deterministic,fresh,95,11,17680,26082,27541,27249,28017,23883,51012,865,73,0,1
deterministic,aged,95,93,28651,28361,29186,28927,28533,24150,52587,865,74,0,1
