profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,86,24808,41933,44398,42536,46916,41705,95913,1313,30,0,1
stress,aged,10,80,45721,47828,46652,43380,45203,39965,86547,1313,37,0,1
stress,fresh,50,86,22827,42229,45484,42754,46414,36697,85907,1313,29,0,1
stress,aged,50,80,48863,50491,47908,44269,45662,40818,83936,1313,30,0,1
stress,fresh,75,86,25196,41854,47267,43179,47149,39210,87214,1313,45,0,1
stress,aged,75,80,47546,45492,44751,42402,45061,40565,80108,1313,29,0,1
stress,fresh,90,97,25815,41953,43872,42618,45791,42698,93580,1313,29,0,1
stress,aged,90,91,46433,46134,43729,42749,45767,41808,84185,1313,30,0,1
stress,fresh,95,97,25015,41638,47471,41630,47601,41795,82914,1313,30,0,1
stress,aged,95,66,49567,46307,46098,1925,46806,44218,86004,1313,29,0,1
